INTENT,
Undo the last sentence,1
Undo the last word,1
Can you undo the last sentence,1
Please undo the text,1
Undo the selected text,1
Could you undo the last sentence,1
please undo the text three times,1
will you undo the text for me,1
undo the previous sentence,1
Scratch that sentence,1
Revoke the last sentence,1
Retract the last sentence,1
Please make it bold,2
Bold the last word,2
Make the selected word bold,2
Can you make it bold for me,2
Toggle bold,2
Format to bold for me,2
Set font to bold,2
Bold that for me,2
Emphasize the last word,2
Emphasize the selected word,2
change the text to bold,2
Bold the last paragraph,2
remove bold for the selected text,3
remove bold for the last two sentences,3
remove emphasis for the selected text,3
remove emphasis for the last sentence,3
clear bold for me,3
remove bold for me,3
unbold for me,3
clear emphasis for the selected text,3
unbold the last word,3
remove bold from that sentence,3
Unbold that for me,3
Please make the selected text to italics,4
Change the selected text to italics,4
italicize the selected text,4
Please italicise the selected text,4
Can you change the selected text to italic,4
Could you please italicize that last sentence for me,4
will you italicise that for me,4
Can you italic that sentence,4
italics that last two sentences,4
italicize the last Four sentences,4
Remove italic for me,5
clear the italics for me,5
Please clear the italics sentence,5
unitalicized that first sentence,5
Please remove the italic sentence,5
unitalicized the selected text.remove italics from last word,5
clear italics from last sentence,5
remove italics from last sentence,5
underline that,6
underline please,6
please underline that,6
make it underline,6
last word underline,6
please underline last word,6
can you underline last word,6
underline the last word please,6
underline the last word,6
underline the selected word,6
can you underline the selected word,6
please underline the selected word,6
Make the selected word underline,6
Can you make it underline for me,6
format to underline for me,6
last two words underline,6
can you underline last three words,6
please underline the last three words,6
underline the last two characters,6
underline the last three words,6
Translate the underlined sentence,6
correct the underlined part,6
All the words underlined on red should check for spelling,6
can you remove underline for that word,7
Remove underline for that sentence,7
remove underline for the last two characters,7
remove underline for selected word,7
Can you remove underline for me,7
remove underline for last three words,7
redo the underline removed part,7
please remove underline ,7
remove underline please,7
remove underline for all the words in red color,7
Insert a superscript symbol,8
Please superscript that,8
can you please superscript that,8
superscript that please,8
superscript last two characters,8
superscript that,8
Type the character for the superscript,8
Click to position the cursor to the right of the character requiring a superscript,8
Select the text or number that you want to superscript,8
can you highlight all the superscripts in word,8
can you superscript symbol,8
remove supescript for all words with font red,9
Click the cursor to position to remove superscript,9
Select the text or number that you want to remove superscript,9
remove superscript from that,9
please remove superscript,9
remove superscript please,9
can you remove superscript from last two characters,9
remove superscript from last character,9
can you remove the superscript,9
remove superscript from last two characters,9
remove the superscript,9
can you highlight all the superscripts in word which you want to remove,9
Please increase subscript fontsize,10
capitalize subscript,10
decrease subscript fontsize,10
change subscript formatingstyle ,10
bold last n words in subscript,10
underline last n words in subscript,10
underline first n words in subscript,10
delete subscript,10
capitalize last two characters in subscript,10
capitalize first two characters in subscript,10
Please remove subscript,11
remove first two characters in subscript,11
remove last two character in subscript,11
remove subscript,11
remove second character in subscript,11
can you bold subscript,11
bold subscript,11
remove subscript please,11
please remove subscript,11
underline subscript,11
can you strikethrouh text please,12
strikethrouhgh text,12
please strikethrough text,12
strikethrouhgh font size please,12
can you strikethrough font size,12
strikethrough font size,12
strikethrough fontstyle,12
strikethrough underline style,12
strikethrough font,12
strikethrough textfull,12
strikethrough textoutline,12
strikethrough first two characters,12
strikethrough last two characters,12
Please remove strikethrough,13
undo strikethrough,13
remove strikethrough,13
remove strike,13
please undo strikethrough,13
undo strikethrough for first 2 characters,13
remove strikethrough for first 2 characters,13
remove strike  for first 2 characters,13
remove strike  for first 2 letters,13
please undo strikethrough  for first 2 characters,13
undo strikethrough for last two characters,13
remove strikethrough for last two characters,13
remove strike for last two characters,13
remove first two characters strikethrough,13
remove last two characters strikethrough,13
undo strikethrough for last two characters,13
remove strikethrough for last two characters,13
remove strike for last two characters,13
please undo strikethrough for last two characters,13
please undo strikethrough for last two characters,13
remove two characters strikethrough,13
centre align the selected line,14
can you centre-align the line,14
please centre align,14
please align in the middle,14
centre the content,14
position it in the middle,14
centre align the selected paragraph,14
place the paragraph in the middle,14
can you centre-align the sentence,14
align the table in the middle,14
align the table in the middle,14
please centre-align first word of the paragraph,14
can you centr-align the last word of the paragraph,14
position the table in the middle,14
centre align the first word of selected paragraph,14
position the image in the middle of the page,14
position the table in the middle,14
centre align the last word of selected paragraph,14
centre align the table,14
centre align the image,14
centre align the picture,14
centre align the icon,14
Please insert comment,15
insert comment on italic word,15
insert comment on last line,15
insert comment on the selected line,15
insert comment of first line,15
insert comment on start if new paragraph,15
can you insert a comment here,15
insert a comment below,15
place a comment below this line,15
insert a comment above this paragraph,15
please insert a comment on this word,15
please insert a comment above this line,15
can you add a comment down here,15
please add a comment at this word ,15
insert comment on the last line,15
left align the selected line,16
left align the selected paragraph,16
align the line to the left,16
please move the line to the left,16
can you left align this paragraph,16
shift the paragraph to the middlwe,16
left align the image ,16
move the text to the left,16
please left align the content,16
left align the first word of selected paragraph,16
left align the last word of selected paragraph,16
left align the table,16
left align the image,16
left align the icon,16
right align the selected line,17
move this line to the right,17
move this line to the right,17
please shift the text right,17
right align the content,17
move this paragraph to the right,17
please right align the paragraph below,17
can you right align the  paragraph above,17
please right align the first word of this paragraph,17
can you right align the first word of the content,17
please right align the table below,17
please right align the table above,17
can you right align the image above,17
right align the selected paragraph,17
right align the first word of selected paragraph,17
right align the last word of selected paragraph,17
right align the table,17
right align the image,17
right align the icon,17
Please remove formatting,18
Can you remove formatting,18
Please remove formatting from the selected sentence,18
remove the formatting from this sentence,18
remove formatting from the sentence below,18
remove formatting above,18
please remove the formatting in the line,18
can you remove formatting from the last 3 lines,18
Can you please remove formatting from last 2 lines,18
remove formatting from 5 lines above,18
remove formatting from the line above,18
remove all formatting from this page,18
clear page of formatting,18
Please remove formatting from this page,18
please undo formatting for last page,18
remove last word formatting,18
can you undo formatting from last word,18
please remove formatting form last word,18
remove formaating from last sentence,18
remove formatting of last letter,18
please remove formatting from last character,18
can you remove formatting from this paragraph,18
Please remove formatting from selected Paragraph,18
Please insert bullet,19
Can you Insert Bullet,19
Please Insert Bullets for the selected sentences,19
Please insert bullet for lines on this page,19
You should insert bullet here,19
Insert bullets for lines in this paragraph,19
Please insert bullets for lines in this paragraph,19
Insert bullet ,19
Start inserting bullets ,19
Insert bullet here,19
Please start inserting bullets,19
Add bullet here,19
Put bullets here,19
Can you please start inserting bullets for selected paragraph,19
Please go to next bullet,20
Can you start from next bullet,20
Please start next bullet,20
Can you please go to next bullet,20
Can you start next bullet after this line,20
Start next bullet,20
Add next bullet,20
Please add next bullet,20
Go to next bullet,20
Kindly go to next bullet,20
Put next bullet here,20
Move to next bullet,20
Please end bullets,21
Can you end bullets,21
Can you please end Bullets,21
Exit Bullets and start new paragraph,21
Please exit from list,21
Can you end bullets here,21
Please end bullets from the selected line,21
End bullets,21
Stop bullets,21
Terminate bulleted list,21
Stop inserting bullets,21
Please stop bullets,21
Could you please stop bullets?,21
please pause dictation,22
can you pause dictation,22
please pause dictation near bold text,22
can you pause dictation near bold text,22
Please pause dictation near underlined word,22
can you pause dictation near underlined word,22
pause dictation near bold text,22
pause dictation near underlined word,22
pause dictation,22
pause dictation near the word which is bold and underlined,22
pause dictation near the word which is bold,22
pause dictation near the word which is underlined,22
Take a break from dictation,22
Please take a break from dictation,22
Halt dictation here,22
Please halt dictation,22
Halt dictation near bold text,22
Please pause dictation near underlined text,22
please stop dictation,23
can you stop dictation,23
please stop dictation near bold text,23
can you stop dictation near bold text,23
Please stop dictation near underlined word,23
can you stop dictation near underlined word,23
stop dictation near bold text,23
stop dictation near underlined word,23
stop dictation,23
stop dictation near the word which is bold and underlined,23
stop dictation near the word which is bold,23
stop dictation near the word which is underlined,23
Could you please stop dictation?,23
End dictation,23
Stop dictation near the word in bold,23
Please stop dictation near the bold word,23
Please end dictation,23
Please stop dictation near underlined text,23
Can you please stop dictation near underlined text,23
Let's stop dictation now,23
Please show all commands,24
can you show all commants,24
show all commands,24
show commands,24
please show commands,24
can you show commands,24
what commands are present,24
open all commands,24
please open all commands,24
can you open all commands,24
open commands,24
please open commands,24
Reveal all commands,24
What commands are there?,24
Can you please open all commands?,24
Can you please show all commands?,24
Display all commands,24
Display a list of commands,24
Kindly present all commands,24
Present all commands,24
Please display all commands,24
Show help,25
open help,25
please show help,25
Please open help,25
can you show help,25
can you open help,25
help me,25
Display help,25
Please display help,25
Help required,25
Help needed,25
Can you please display help?,25
Kindly display help,25
Delete that bold text,26
delete that underlined text,26
delete that italics text,26
delete last two words of line,26
delete last two lines of paragraph,26
please delete the selected text,26
selected text should be deleted,26
delete all the text in bold,26
delete all text in bold,26
delete all the text in underlined,26
delete all text in underlined,26
can you delete last two words in line,26
delete last two words in paragraph,26
delete last paragraph,26
delete selected lines,26
Delete all text,26
Could you please delete last two words in line?,26
Can you please delete the selected text?,26
Kindly delete the last paragraph,26
Delete all text that is underlined,26
Please delete all text in bold,26
Kindly delete all text in bold,26
Erase the last paragraph,26
Erase the last two words of that sentence,26
Please erase all text,26